id,pattern_no,pattern_name_ja,solution_ja,pattern_id 紐づくパターンのIDを入れてください。
11,11,へこまず続ける,実践したことに対して、「興味がない」「もう送ってこないでほしい」などネガティブな反応が返ってくることもある。そんなときには、ネガティブに感じる人がいるとしても、それはごく一部であり、多くの人は必ずしもそうではないという事実を踏まえ、悲観し過ぎることなく、実践を続けていく。,4
12,12,なぜそれをやるのか,実践をある程度重ね、実践することに慣れてきたと感じたら、何か取り組みをするときには、なぜそれをやるのかをきちんと考えるようにする。,5
13,13,なぜそうなったのか,何か取り組みをしたあとには、《起きている変化》を確認し、なぜそういう結果になったのかをしっかり考えるようにする。,5
14,14,考えるための書き出し,自分の実践を伝える・まとめる機会を積極的に利用し、自分のやったことを改めて言語化・文章化したりする。書きまとめてみる過程で、思考が整理されたり、今まで気づかなかったことを発見したりすることができる。,5
15,15,反応がないことも反応,取り組みをしてみても、変化が何も見つからないときがある。そのようなときは、取り組みに意味がなかったと思うのではなく、「反応が起きなかった」こともひとつの反応だと捉え、なぜ何も起きなかったのかを考えるようにする。,5
16,16,好きを入れていく,自分ならではのアレンジやオリジナルの取り組みを考えるときには、自分が好きなことを入れてみて、自分らしい発想の取り組みをつくっていく。ただし、お客さんを無視した自分勝手なものにならないように、お客さんに喜んでもらえているかをよくみることが大切である。,6
17,17,小さく始めて反応を見る,新しい取り組みであるほど、実際にお客さんに喜んでもらえるのかはわからないので、小さく試験的に始めてみて、お客さんの反応を探りながら、規模を大きくしたり、度合いを色濃くしていく。,6
18,18,唐突でもよい,これは良いと思ったアイデアでも、業種・業態の常識を踏まえると「唐突」だと思ってしまい、せっかくの良いアイデアも躊躇して実践しないということがよくある。しかし、自分の心配はよそに、お客さんからは好評だったり、面白がられたりと、反響があったりすることもあるので、まずは試してみるとよいだろう。,6
19,19,悩みのレベル,今足踏みをしているように感じているのは、簡単に乗り越えられることをすでに越えてきたからであり、悩みのレベルが変わったからかもしれない。その悩みが見えたということが、飛躍のすぐ手前にいるということを表していると捉えると、もう少し粘り抜くことができるだろう。,7
20,20,そのまま続けていく,伸び悩んでいると感じているときは、何か新しいことやレベルの高いことをしなければならないと焦ってしまいがちである。しかし、そういうときこそ、今まで通り、そのまま実践を続けて行くことこそが大切であると考え、地道に今まで通りの実践を重ねていく。,7
21,21,たまには休んでもよい,どうしても疲れたと感じるときには、実践を続けることをやめるのではなく、少し「お休み」をして、充電する時間を取るようにする。,7
22,22,この先にある世界,この段階で実践を続けるなかでは、苦しさや閉塞感を感じてしまうことがある。そんなときには、ここを乗り越えた先輩たちと話し、《飛躍の前の伸び悩み》 を超えたところにはどのようなことが待っているのかなど、この先に続く世界を教えてもらうとよい。,7
23,23,理論と実践の往復,日頃から、実践のなかで起こったことは、理論（例えば、「B：心が動く働きかけをする［理論１：動機づけのコツ］」や、「C：特別な存在になる［理論２：絆づくりのコツ］」で言うと何なのかを確認したり、逆に、理論から自分で実践できそうなことを考え出したりしながら、理論と実践を何度も往復するようにする。,8
24,24,事例の本質,他の人の事例に触れるときには、そこで起こったことを表面的に読むだけではなく、理論で説明するとどういうことだと言えるのかを考えながら読むようにする。そうすると、具体と抽象を行き来する力がつき、日々の実践の中でも本質を捉えられるようになっていく。,8
25,25,同じ理論に何度でも,以前に読んだ本、参加したセミナーなどで一度触れたことは「もう理解した」と思ってしまいがちだが、その理解度は自分の実践が進むほど深まっていくものなので、何度も繰り返し触れるようにする。実践の経験を積むと、同じ内容であっても、その都度必ず新たな発見があり、理解がアップデートされていく。,8
26,26,実践の散りばめ,つながりを意識しながら実践をするのが難しいと感じるときは、まずはいろいろなところに実践を散りばめてみるとよい。そうすることで、実践同士の間のつながりから、全体が見えてくるようになる。,9
27,27,ミッシング・ピースを埋める,《全体のつながり》 がわかるようになってきたら、自分の商売やビジネスを俯瞰的に捉え、その大きな枠組みの中で自分が取り組んでいない部分はどこか、何を埋めたらもっとスムーズにつながるかなど、大きな動きを生み出していくために不足している部分を探し、取り組むようにする。,9
28,28,目には見えないネットワーク,系というのは、目に見えないため、その関係のネットワークを想像力によって思い描くことでしか捉えることはできない。例えば、生態系において、植物や動物は目に見えるかたちで存在していても、食物連鎖の関係や共存関係などは目で見ることはできないが、それらは確かにひとつの関係性として「ある」というのと同じである。そのような目に見えないネットワークに思いを馳せて、感じるようにする。,10
29,29,意外な影響要素,〈目には見えないネットワーク〉 のなかで、影響し合っているかもしれない意外な要素があることを意識する。そうすると、気づきにくいが大切な要素をないがしろにせず、気をかけることができるようになる。,10
30,30,あえて言う,「店がある」 「会社がある」 「〇〇を売っている」 「〇〇をしている」 「〇〇という商品・サービスがある」など、お客さんが当たり前に知っているだろうと思うような内容であっても、あえて伝えてみる。ストレートに伝え直すことで、意外と結果は変わるものである。伝えてみたら、それによってお客さんの行動に変化があったかを確認し、他に伝えるべき当たり前のことが漏れていないかも確認していく。,12
31,31,背景に埋もれない存在感,何かを伝えたいときには、それが背景に埋もれず、ポップ・アップして（浮かび上がって）目に入るように心がける。具体的には、届けたい情報が背景と同化しないように留意しながら、色・配置・大きさ・形などを工夫するのである。,13
32,32,目にとまりやすい位置,看板や張り紙などの位置や角度、高さなどを変えるだけで、目にとまりやすさが変わり、認識される機会を増やすことができる。また、トイレや待合室など、お客さんが立ち止まるような場所に貼るという工夫もよいだろう。,13
33,33,興味を引く言い方,商品やサービスについて書くときには、お客さんの関心をつかむような投げかけをする。例えば、「あの〇〇」 「店長おススメの〇〇」などとすることで、興味をもってもらうきっかけとなったり、会話が起こりやすくなったりする。,13
34,34,ビジュアルでアイ・キャッチ,文字や文章で伝えようとすると、興味をもって読み始めてくれたお客さんにしか伝えることができない。特にどうしても伝えたいことなどは、目に飛び込みやすい写真・画像などのアイ・キャッチ力を活かして届けるようにする。例えば、目を引く写真のキャプションに伝えたいことを入れることで、伝わる確率を高くすることができる。,13
35,35,具体的に伝える,お客さんに取ってもらいたい行動があるときには、してほしいことをわかりやすく具体的に伝えるようにする。例えば、「お問い合わせは、○○○-○○○○」では、実はお客さんは具体的にどんな行動をすればよいのかわからないのだが、「○○○-○○○○まで、お電話いただき、□□□と言ってください。」と書くと具体的になり、行動に移しやすくなる。他にも、「見てください」 「角を曲がってください」 「手に取ってください」 「△△△まで、あと7歩」などとあるだけで、次の行動へとスムーズにつながりやすくなる。,14
36,36,どうぞメッセージ,こちらが当然だと思っていることでも、お客さんのなかには、してよいのか迷いが生じて行動に移さないことがある。例えば、一つから買えるものでも、「お一つからどうぞ」と書くだけで、一つから買いやすくなるものである。他にも、「見るだけ大歓迎」 「試食できます」 「試着し放題」 「お一人様大歓迎」などと伝えることで、お客さんはそれを気軽にできるようになる。,14
37,37,行動できるかチェック,お客さんに取ってほしい行動を具体的に伝えているつもりなのに、なかなかその行動が起きないときには、お客さんの立場に立って、自分の伝えていることがその通りに行動できるかを確認する。,14
38,38,心の充足とお悩み解決,商品・サービスの価値を考えるときには、「心の充足」と「悩みの解決」という２つの視点をもってみる。心の充足では、その商品・サービスはお客さんにどのような「良いこと」をもたらすことができるのか、悩みの解決では、お客さんのどのような「困りごと」を解決できるのかに着目し、提供し得る価値を考えていく。,15
39,39,生活全体のイメージ,商品やサービスの価値というと、それを使っているときのことを考えやすいが、一度視野を広くして、お客さんの生活全体に目を向けてみる。こんな生活をしているのではないか、こんな気持ちなのではないかと考えることで、こんな困りごとがあるのではないか、こういう時間が持てたらいいのではないかなどをイメージし、商品・サービスがそれにどう貢献できるかを考えていく。,15
40,40,うちのお客さん像,なじみのお客さんたちはどのような人なのか、どんなことに関心があるのかなどについて捉えるようにする。例えば、日頃から何気ない会話をし、お客さんの関心・やっていること・気持ちなどを知るようにしておくと、投げかけに対する反応なども想像がしやすく、喜んでもらえるポイントを見つけやすくなる。,15
41,41,つくり手の想い,商品・サービスの価値というものは、それを使用することによってもたらされる効果だけでなく、それをつくった人の想いや背後にあるストーリーによっても増強することができる。そのようなバックストーリーについて調べ、それを伝えることで価値を高めていくことができる。,15
42,42,価値から伝える,《価値の掘り起こし》で見出したことを、何よりも先に伝えるようにする。商品名や値段などは伝えなければならないものではあるかもしれないが、お客さんの心が動く材料にはなりにくい。そこで、まずは価値を伝えて関心をもってもらい、その後に必要なことを伝えるという順番を大切にする。,16
43,43,直感的なわかりやすさ,お客さんが直感的に価値をイメージできるように伝えることを心がける。例えば、《価値の掘り起こし》 で見出した内容を、「〇〇のような」という喩えを用いて表現することで想像しやすくしたり、その商品・サービスの効果を感じてもらえるように使い方を実演してみせたり、動画で表したり、五感に訴えたりして、直感的に「良さそう！」 「欲しい！」と感じてもらえるようにする。,16
44,44,どこで止まっているのか,最終的に「買う」という行動にまでつなげてもらえるように、お客さんの動きを見たり、考えたりしながら、買うまでの行動を細かく刻み、どこで途切れてしまっているのかを見つけだす。そこで止まっている理由を突き止め、その行動を起こせるようハードルを下げたり、次の行動に移れるような後押しをしたりすることで、買うという行動への流れをスムーズにする。,17
45,45,ためらいの理由,商品を手に取ったまま迷っていそうなお客さんや、関心をもっていそうな馴染みのお客さんに話しかけるなどして、その人がどんなことがわからず買うのをためらっているのか、またその商品についてのどんなことを知りたいのかを聞くようにし、買うことをためらう理由を突き止めるようにする。,17
46,46,溝を埋める情報,〈どこで止まっているのか〉や〈ためらいの理由〉が見えてきたら、それを解消するために必要な情報をわかりやすく伝えるようにする。例えば、その商品・サービスを購入するにあたり、そのお客さんにとって適正な数量がわからない場合には、「この人数用なら、これくらい買うとよい」などといった情報を付加する。多様なラインナップの中からどれを選んでよいのかわからない、ということであれば、「まず最初に試すのは、これがおすすめ」ということを伝えるようにする。,17
47,47,気づいてもらえる距離,情報に触れることで、それを買いたいと思ってもらえているのに、その商品・サービスがどこに置いてあるのかがわからないためにお客さんの行動が止まってしまうこともある。そのため、店頭などでは、目につくお知らせなどからすぐ手の届く距離に商品・サービスを置き、インターネットなどでは、その商品・サービスにたどり着きやすいようにページを構成するようにする。,17
48,48,自分の経験の分析,お客さんが買うという行動を考えるために、自分がお客さんとして買い物をするときの普段の行動に目を向けてみる。何かを買うときに、何を見てどう思って手に取り、最終的に買ったのはなぜなのかに意識的になり、買うに至った経緯を分析してみる。そうすることで、行動のつながりや、何が決め手になるのかなどが理解しやすくなり、自分のお客さんに対して活かしていくことができる。,17
49,49,体験全体の質,店であれば、店舗の場づくりや雰囲気づくり、そこでの会話など、サービスであれば、前後の流れや余韻など、体験全体によってもたらされる満足感を高めるということを意識する。そのとき、お客さんがどういう気持ちでここに来て、ここの買い物はどのような体験なるのかをイメージし、そのすべての場面でより良い体験になるように環境・仕組みを整える。セミナー等であれば、会場に入ってからの待ち時間や終了後の余韻なども演出したりするとよいだろう。,18
50,50,居場所になる,買い物をするときに、子どもが飽きてしまったり、ずっと立っていて疲れてしまったりすると、落ち着いて買い物はできないものである。単に商品・サービスを提供するだけでなく、例えば、お店であれば、買い物中に子どもが遊ぶ場があり、親子で来たお客さんがゆっくりくつろいで買い物できる環境を整えたりする。また、落ち着いて買い物ができるようにしたり、座ってゆっくりと選ぶことができるような工夫をしたり、お茶を出してゆっくりしてもらったりするような工夫をするのもよいだろう。,18
51,51,届くまでのこと,商品が届くまでの間や、届いたときの体験もデザインすることができる。例えば、予約注文の場合などに、届くのを待っている間も、製作中の写真が届くと、お客さんにその間も楽しんでもらうことができるだろう。また、パッケージや包装なども雰囲気づくりができ、開封したときに何が目に入るのかなども工夫することによって、その体験をデザインすることができる。,18
52,52,心地よい余韻,お客さんが帰るときにどういう気持ちになっていてほしいか、また帰ったあとにどんな気持ちになってほしいかを考え、お客さんへ対応を考える。例えば、帰り際にちょっとしたお土産を渡したり、心地よい音楽を流したりするなどの工夫をする。,18
53,53,欲しいと思う理由,お客さんが買うべきものを提供しようとするときには、まず、お客さんは何がしたいのか、どういったもの・価値がほしいと思っているのかをきちんと聞くようにする。予算から聞いてしまうと値段で制約が生じてしまうので、手に入れたい価値の方から教えてもらうようにするとよい。,19
54,54,教え導く,自分の持っている知識・技術を使い、お客さんの生活をより良くするために、教え導くというくらいの意識で提供していくことを目指す。そうすることで、困ったことがあったら聞いてみようと頼られる存在になっていく。,19
55,55,あなたに合うもの,プロの知識・技術から考えて、「あなたに合うものは、これ」と提案する。そうするときには、その理由も添えて伝えるようにするとよい。時には、本人がまったく関心をもっていなかったものや、合わないと思っていたものもあるかもしれないが、それはその人の視野を広げることにもなるだろう。,19
56,56,使いこなしのアドバイス,どのように使えばより役立つのか、より力を発揮するのかもきちんと伝えていく。例えば、その商品・サービスを良い状態で使用し続けるコツや、より良さを発揮できる扱い方、プロだからこそ知っている裏技などを出し惜しみなく伝えていく。,19
57,57,自分の世界を織り交ぜる,自分がお客さんに対して、どのような価値を提供できるかを考えるときには、自分の業種や仕事の常識や枠に囚われず、自分の好きなことや得意なことを取り込み、自分の見ている世界や自分が感じている魅力的な世界観を織り交ぜていく。店・事業の常識的な範囲から大きくはずれていることでも、自分が心から好きなことや得意なことの世界がそこに重なると、新しい価値や新しい世界を拓く可能性があり、予想を超えた大きな反響を呼ぶことがあることもあるので、躊躇せず試してみるとよいだろう。,20
58,58,幸せ増やしのお手伝い,今の商品・サービスや事業形態にとらわれず、お客さんの幸せをどう増やしていくかを考え続けていく。そうすると、お客さんの心が動く価値を広く考えていくことができ、より喜んでもらえるようになるだろう。,20
59,59,何を売ってもよい,自分の商売・事業の業界区分や分野にとらわれず、究極的には「何を売ってもよいんだ」という思い切った気持ちで、自分らしく商品・サービスを広げていく。そうすることで、本当にお客さんの〈幸せ増やしのお手伝い〉につなげていくのである。,20
60,60,人々を魅了しているもの,《心豊かな世界》 をもたらすことができるようになるためには、世の中で素晴らしいと賞賛されたり、良いと話題になったりしているもの、例えば、映画や音楽、本やイベントに積極的に触れ、人の心がどのようなことで動くのか知るようにするとよい。もともと自分がまったく興味がなかったものでも、多くの人を魅了するようなものがどのようなもので、それがどのように人々を魅了しているのかを学ぶと、自らの幅が広がるとともに、心の感度と感性を磨いていくことができる。,20
61,61,加わりたくなるリスト,お客さんに個人情報を聞くと警戒されてしまうのではないかなどと考えてしまい、集め始めることに躊躇することがある。そんなときは、お客さんが自ら喜んで連絡先を登録したくなるようなアイデアを考え、自然な流れの中で聞いていけるようにする。,22
62,62,つながりをつくりに行く,つながる相手は、すでにお客さんとして来てくれている人だけだと考えず、店や会社と関わる人を自分から増やしていくことも意識する。地域や関連の他業種などにも視点を広げ、そこに関わる人たちと出会えるようなイベントに積極的に参加するなどして、出会いをつくり、つながりを増やしていく。,22
63,63,興味をもってもらえる名刺,はじめて会ったときにお渡しする名刺に、その後、つながっていきやすくするための工夫をする。自分自身や店・会社に興味をもってもらえるようにしておくことで、名刺をきっかけに会話が弾んだり、やりとりが継続したりして、距離を縮めやすくなる。,22
64,64,全員へコンタクト,お客さんとつながるための取り組みを始めるとき、誰に、またはどの範囲までアプローチすべきかなどを考えてしまうことがあるが、一度接点があった人であれば、選ぶのではなく、全員とつながるようにする。,23
65,65,21日間に3回,出会ったあとは、21日間で3回程度接触するとよい。それぞれの段階で、どのような内容でどのように連絡をすれば、良い印象の関係づくりができるかを考える。,23
66,66,思いがけないプレゼント,接点が生まれ、関係をつくることができそうだと感じ始められたら、ちょっとしたプレゼントを贈り、こちら側の気持ちを届けるようにするのもよい。プレゼントの内容としては、高価なものではなく、一人あたり10円以下でできるぐらいのもので、想いを伝えられるものにする。,23
67,67,メイン・リストへの合流,新しく接点のできたお客さんへの 《お近づきのアプローチ》 が終わったら、そのお客さんたちも既存のお客さんと同じ連絡リストに追加し、既存のお客さんと同じコミュニケーションに変えていく。,23
68,68,まずは自己紹介,自己開示は、まずは自己紹介から始める。そのためのメディアは、お客さんとの接点として、自分たちの業態に合ったものを考える。例えば、メールやニューズレター、ホームページやSNSに載せたり、チラシにアレンジを加えたりと、様々な可能性があるだろう。店舗の場合には、A型看板や、店内の自己紹介ボード、名札にちょっとした情報を加えるなど、お客さんとの会話のきっかけになりやすいよう、散りばめておくのもよい。名刺ひとつでも、自分のことを伝えるような工夫をすることができる。,24
69,69,心が近づくお便り,自己開示として何を書いたらよいかわからないときには、「最近あったできごと」と「そのとき感じたこと」を通じて、自分が感動したことや楽しかったこと、失敗談などを伝えるようにする。この発信の目的がお客さんとの関係を築くためだということを忘れないようにし、お客さんへのお手紙を書いている意識をもつとよい。,24
70,70,目的のないおしゃべり,仕事をしている「自分」のスタイルを変えていこうとすると、きっかけやその度合いなどがなかなか難しいと感じることもある。そんなときには、まずははっきりした意図を持たない、例えば知り合いに近況を聞くようなさりげない会話をしてみる。そのような会話を続けることで、自分の人となりも表れ、相手の人となりも見えてきて、自然な会話につながっていく。,25
71,71,言葉がけひとつでも,業界や会社の方針・制約で、お客さんに何かをしてあげたり、場をもったりすることが難しいこともある。そうであっても、言葉がけひとつでも、お客さんの心に通じる絆はつくることができるので、できる範囲内での自分らしい接し方を考えていくとよい。,25
72,72,馴染みへのステップアップ,お客さんが自分のことを少し身近に感じてくれるようになったと感じたら、それに呼応するように、こちらも少しラフに友達口調で話してみるなど、コミュニケーションを変えてみる。例えば、声をかけてくれる回数が増えてきたり、お客さんも自己開示をしてきてくれるようになったりなどが、切り替えのサインと言えるかもしれない。,25
73,73,さりげない心遣い,お客さんがうれしいだろうなと思うことを、実際に行動に移してみる。例えば、雨のときに車まで傘を差して付き添ったり、お客さんがいつもより少し元気がないと感じたときには、お茶やお菓子を出して一息ついていくようにすすめたりするなど、自分自身が相手に「しよう」と思うことを素直に行っていくとよいだろう。,26
74,74,笑顔になるサプライズ,ここでの買い物がそのお客さんにとって特別な体験になるような、ちょっとした工夫をする。例えば、来ることがわかっているお客さんの名前を書いてお迎えするというようなことでも、喜ばれるものである。会員カードに書いてある誕生日が近ければ、その場でさっとお祝いするようなちょっとした演出・工夫をすると、喜んでもらうことができ、それは心が通う体験となっていく。,26
75,75,ちょっとした特別感,馴染みになってきたお客さんには、他のお客さんとは違うちょっとした特別感を演出するのもよい。例えば、常連のお客さんには、「えこひいきメニュー」を用意したり、少し違うサービスをしたりして、特別だという気持ちを伝えるようにする。,26
76,76,お客さんを巻き込む,催しごとなどを企画するときには、お客さんにも役割を持ってもらうなどして、どんどん巻き込んでいくようにする。そうすると、与える人、与えられる人という関係性を超えて、ともに取り組む仲間という一体感や達成感を共有することができる。そのような体験は、単なるイベント参加とは違う特別な体験となる。,26
77,77,自分たちらしいやり方,世の中には多様な催しものがあるので、考えた企画はどこでもやっているようなことかもしれない。しかし、それを、自分たちらしいやり方でやったり、自分たちの想いを込めたりすれば、お客さんと自分をつなぐ特別な体験にしていくことができる。,26
78,78,ありがとうの等価交換,お客さんには「買ってもらう」のだという視点にとらわれず、お客さん自身から「提供してくれて（売ってくれて）、ありがとう」と言ってもらえるような関係を目指すようにする。つまり、お客さんにとって価値のある商品やサービスの存在を伝え・提供して、対価をいただくことで、互いの「ありがとう」の気持ちが相互に行き交うようなイメージで商いをしていく。,27
79,79,また来たくなるしかけ,イベントなどで集まってくれた人に対し、イベントが終わればそれで終わりなのではなく、また来たくなるような気持ちが生まれ、さらに実際に来てもらうような工夫をして、商売やビジネスにつなげていくことを忘れないようにする。,27
80,80,長いお付き合い,お客さんとの関係を築いていく際には、短期的な視点だけではなく、長期的な視点で、長い付き合いをつくるような意識も持つ。例えば、10年経つと、お客さんやその家族の生活状況や環境が変わり、新しいニーズや要望が出てくるかもしれない。そういったことも踏まえれば、長いお付き合いのなかで自分たちができることは、今見えている以上にあるかもしれない。,27
81,81,まわりからの見え方,うちらしさというのは、自分たち自身ではうまく捉えることができないことが多い。そこで、お客さんや取引先・周りの人などから、自分たちの雰囲気や印象について何かを言われたときには、それは「うちらしさ」なのだと捉えてみて、外からの見え方も取り込みながら、自分たちの「うちらしさ」像をつくっていく。,28
82,82,うちらしいか,「今の状態はうちらしいだろうか」、「新しい取り組みはうちに合っているだろうか」、「これを何と伝えると、うちらしくなるだろうか」、というように、自分たちらしいかを常に考えながら、やるべきことを決めていく。,28
83,83,ミッションの更新,今までこうだと信じて進んできたことに違和感をもつようになったり、今後やっていきたいことが変わったり、新たな自分たちらしさが見えてきたりしたときには、過去の「うちらしさ」に固執するのではなく、新たに見えてきた方向性や、自分たちの持ち味、世界観に合わせて、店・会社や仕事のミッションを更新していくことも大切にする。,28
84,84,それをやらない代わりに,明らかにやった方がよいと思われる施策や、多くの人がやっている定番のやり方でも、どうにも自分たちには合わないと感じ、気が向かないものがあるかもしれない。そのようなときには、自分の感性や性分に合わないことを無理にやるのではなく、それをやらない代わりに自分たちはどうするのかを考えるようにする。同じ目的を達成するための、別の良いアプローチが見つかるかもしれない。,28
85,85,軸はぶらさずに,新しいことを仕掛けたり、何かを変えたいと思ったりすると、目新しさに意識を向けすぎ、店や事業のアイデンティティが失われてしまうことがある。変わっていくときにこそ、自分がプロとして経験と信頼を積んできている領域が店や会社の軸であることを改めて認識し、それを柱としてぶらさないことを大切にする。,29
86,86,ファンと呼び得るお客さん,満足を提供できているかではなく、自分の店・会社やそこにいる自分のことを「ファン」と呼べるくらい「好き」だと思ってもらえているかを基準にして、そうなってもらえるように取り組みを考える。,29
87,87,つい行きたくなる場,より自分らしく、自分にしかできない店・会社にしていけるように考える際には、例えば「目的がなくても行きたくなる店や場所」になるためにはどうしたらよいかと発想してみるのも有効である。そうすることで、商品やサービスに頼らず、自分自身や店・場全体の価値を高めていくことに振り切って考えやすくなる。,29
88,88,ファン同士が出会える場,自分はファンと呼び得るお客さんを知っているが、そのファン同士はお互いに知らないので、そういう人たちが集まるような機会をつくるようにする。そうすると、ファン同士がつながり、互いに連絡を取り合ったり、何か面白いことを提案してくれたりすることにつながるかもしれない。,30
89,89,こちら側に来る機会,お客さんと店・会社という関係を超え、お客さんをこちら側に惹き込んでいき、自分たちのやっていこうとする取り組みを一緒に展開する仲間になってもらうような意識をもつ。例えば、ちょっとしたお手伝いをしてもらったり、お客さんが動かなければ成り立たないようなイベントに巻き込んでみるなどして、こちら側に立ってもらうことを考えていく。,30
90,90,Win-Winになること,自分とファンの間に質の良い関係を築いていこうとするときには、つながることがお互いにとってwin-winとなる、つまりお互いに良いことがあるように意識する。例えば、お客さんの喜びやメリットになることと、自分のやりたいことや目指すこととをうまく併せていき、相乗効果が発揮できるようなことを考えていくとよい。,30
91,91,ここなら行けそう,《場に出てみる》 とよいと言われても、なかなか気が向かないこともあるだろう。そんなときには、自分にとってのハードルが低く、行けそう、ここなら行ってもいいという場を探してみる。「知り合いがいる方がいい」「誰も知らない方がいい」「大規模な方が楽」「セミナー形式がいい」など、人によって「行けそう」と思う条件は様々なので、幅広く見て、気持ちが向くものをピックアップしてみるとよい。,32
92,92,好みの場探し,場に行ってみたものの、自分には合わなかったと感じるときには、実践している人が集まる別の集まりや勉強会にも出てみるようにする。参加者や内容によって雰囲気も違ってくるものなので、いくつかまわってみて、居心地がいいと思える場を探すようにする。,32
93,93,始めたことを言う,感性科学マーケティングの取り組み・学びを始めたことを周囲の人や仕事でつながりのある人に話してみる。そうすることで、実践している人や集まりを紹介してもらえたりするかもしれない。,32
94,94,ガバッと入れる,事例やエピソード、またセミナーや書籍の数が多く、どうやって理解を進めたらいいかわからなくなってしまうことがある。そんなときには、いきなりしっかり覚えたり理解したりしようという思いにとらわれず、理解できていないままでよいので、とにかくたくさんの量の情報や知識を自分の中に入れ続けることを大切にする。今は分かっていなくても、頭の片隅に入れることで、後でつながって知識になっていくことが多くある。,33
95,95,目から耳から,つかる時には、思いつくありとあらゆる手段を使い、可能な限り浸かってみることを意識する。例えば、音声解説や動画セミナーの音声などを聞き流してみたり、とにかく人に話してみたりするなど、見たり読んだりするだけでなく、いろいろな方法で触れるようにする。,33
96,96,つかり期間,何事も学びはじめは不安が出てくるもので、自分には合わなかったのではないかという思いがよぎるものである。そこで、新しいことをはじめたのだから、まずこれくらいは頑張ろうという期間をはじめに決めておき、それまでは浸かることに専念する。,33
97,97,すごい人もただのおじさん,有名な実践者やすごい結果を残している人でも、会う機会があれば、積極的に話しにいくようにする。そうすると、すごいと思っていた人も実は自分と同じ一人の人間であることが感じられ、並外れた実践例や実績も自分と別世界のものではなく、いずれそうなれるのではないかという思いを持てるようになる。,34
98,98,これまでの常識の一旦保留,今まで触れてきた自分の業界や業種のなかでの常識や理論が自分にとって馴染みがありすぎて当たり前だと思ってしまっていると、新しい考え方や知識を受け入れにくいことがある。そんなときには、これまで学んできた商売やビジネスの感覚を一旦横に置き、感性科学マーケティングのメッセージに耳を傾けてみる。,34
99,99,話すことによる気づき,一人で実践をしていると、実は考えが深まっていかなかったり、間違った理解をしていても気づいていなかったりすることもある。先輩や仲間たちの集まる場などで、積極的に自分のやったことを話すようにすると、自分の誤解に気づいたり、新しい捉え方に気づいたりすることができる。,35
