id,pattern_index,pattern_no,pattern_name_ja,summary_ja,context_ja,b_problem_ja,problem_ja,b_solution_ja,solution_ja,consequence_ja,unit_no チャートにしたときに軸に紐づくか入れてください。,category_id 紐づくカテゴリーのIDを入れてください。,group_id 紐づくグループのIDをいれてください。
11,11,B0,心が動く,「売ろう」とするのではなく、 「買いたい」という気持ちが起こるように働きかける。,なかなか売れ行きが良くならない。,売れ行きが良くない理由を、扱っている商品・サービスの力や価格などの問題だと捉えてしまいがちである。,たしかに商品・サービスの良さが売れ行きに影響するのは事実だが、それだけを理由にしていると、商売やビジネスの改善は難しい。また、単に価格を下げても、結局は、商売やビジネスそのものを苦しい状況に追い込んでしまうだろう。同様に、店舗の立地や業種などを要因と捉えてあきらめてしまっても、何も変わらない。,商売やビジネスとは、単に商品やサービスを「売る」ということではなく、その価値を伝えることで、お客さんの心が動き、「買いたい」と思ってもらうことだと理解する。,つまり、「そこにある商品・サービスが売れる」のではなく、「その商品・サービスを買いたいと思った人が、それを買う」という出来事だと捉えるのである。それを起こすためには、まずは、【知ってもらう】 必要があり、その上で 【価値を伝える】 働きかけをする。さらに、商品・サービスの先にあるお客さんの 【幸せをもたらす】 ということに焦点を当てていくとよい。,商売やビジネスの根本である「売る」ということを正しく捉えた上で、様々な工夫を成果につなげていくことができるようになる。その結果、行う取り組みが成果につながりやすく、売り上げ、ひいては商売・ビジネスを安定させていくことにつながっていく。また、この考え方をできるようになることで、どのような商品・サービスであっても、その価値を見出し、魅力的に伝えられるようになるため、今の領域にとどまらず、商売・ビジネスを広げていくことができるようにもなるだろう。,0,2,5
12,12,B1,存在のアピール,発見されなければ、 何も始まらない。,商品・サービスを提供している。,こちらが思っているほど、店・会社の存在や、どのような商品・サービスを扱っているのかということは、認識されていないことが多い。,自分たちは、自分たちの店・会社がここにあることをよく知っているし、商品・サービスについても手に取るようにわかっているので、それは明らかなことであると思ってしまいがちである。しかし、そこに建物があったり、商品が棚に並べてあったり、メニューに書いてあったりしても、それをお客さんが認識しているかは別問題である。形のないものを売っているときには、より認識されにくいだろう。,店・会社が存在するということや、このような商品・サービスがあるということに気づいてもらえるように、まず、「ある」ということをきちんと発信する。,夏になると、「冷やし中華あります」という貼り紙を見かけるが、それがここでいう発信のわかりやすい例である。それに限らず、ずっと前から棚に置いてあったり、ウェブサイトにあったりした商品であっても、それを「売っています」ということを 〈あえて言う〉 ことが必要である。店の存在についても、そこにあれば目に入れてもらえると思うのではなく、看板などで 〈あえて言う〉 必要がある。,まず、「ここにある」「これを売っている」ということがお客さんに認識され、その事実に気づいてもらうことができる。それによってはじめて、買うかどうかの検討の土台に乗せてもらうことができ、「買ってもらう」ことに向けての第一歩を踏み出したことになる。これをしっかり行うことができるようになると、どう発信するか、何を伝えるかという試行錯誤が、ようやく実を結ぶようになってくる。,4,2,6
13,13,B2,気になるしかけ,「お、なんだ？」 気になると、自然と身体も動き出す。,商品やサービスについて、お客さんに伝えたい。,商品・サービスについて情報を発信していても、素通りされてしまいがちである。,もともとその商品・サービスに関心がある人は、それほど働きかけなくても、その商品・サービスの購入を検討してくれるものである。しかし、より知ってほしいのは、これまで特に関心がなかったという多くの人たちだろう。そういう人に対しては、こちらがどんなにうまく魅力的に説明を用意したとしても、読むという労力を容易には払ってくれないものである。,目に入った瞬間に、「なんだろう？」 「おもしろそう」と興味が湧くように、伝える内容や伝え方を工夫する。,まず、何かを伝えるときには、〈背景に埋もれない存在感〉 があるようにして、〈目にとまりやすい位置〉 で発信するのが基本である。その周辺の景色に埋もれてしまっては、見たり読んだりしてもらえないからである。そして、商品・サービスについて紹介するときには、〈興味を引く言い方〉 や 〈ビジュアルでアイ・キャッチ〉 することを意識してPOPや看板をつくったり、Webページ上での表現を工夫したりするとよい。,もともとその商品・サービスに興味がなかったお客さんにも、目を向けてもらい、興味を持ってもらうきっかけをつくることができる。もしその内容が気になるものであれば、関心が生まれ、その商品・サービスをより知ろうという行動につながっていく。こうして、もともと関心があったお客さんだけでなく、関心がなかったお客さんにも、その商品・サービスの価値を伝えていくことができる。,4,2,6
14,14,B3,行動のガイド,いま何をしてほしいのか、 あえて具体的に伝えてみる。,《存在のアピール》 や 《気になるしかけ》 によって、お客さんが商品・サービスに気づき、興味をもってくれた。,興味を持ってくれたとしても、なかなか次の行動にはつながらず、その興味は流れてしまいがちである。,こちらが「〇〇してほしい」と思っても、心のなかで願っているだけでは、それが実際に起こることはまずない。また、お客さんが次の行動に進もうと思っても、本当にそれをしてよいのかがわからず躊躇してしまうことがある。そうなると、そのまま通り過ぎたり、別のことを考え始めたりしてしまうだろう。,実現したいことを起こすためには、お客さんがどのような行動をとる必要があるかを考え、その行動を具体的に伝えるようにする。,例えば、前を通りかかった人が見えるような場所に「〇〇なので、まずは入ってください」と書いたり、「商品を手に取ってみてください」と書いたりするなど、〈具体的に伝える〉ようにする。また、「お一つからどうぞ」や「見るだけ大歓迎」というように、歓迎される行動を〈どうぞメッセージ〉として伝えると、お客さんは行動を起こしやすくなる。そのような取り組みをしても変化が起きないときには、お客さんの立場に立って〈行動できるかチェック〉をして、修正・調整をする。以上のことは、店舗だけでなく、Webサイト上でも同様である。,店に入ったり、商品を手に取ったりというような、こちらがお客さんにしてほしいと思う行動を実際にしてもらえるようになる。あるいは、Webサイト上では、お客さんに読んでほしい情報に行き着いて読んでもらうことができる。こうして、商品・サービスの価値を伝えて、そこから行動につながるという流れを実現することができる。,4,2,6
15,15,B4,価値の掘り起こし,この商品・サービスは、 お客さんにどのような価値をもたらすのだろうか？,商品やサービスについて紹介しようとしている。,商品名や仕様（スペック）、価格などをいくら説明しても、お客さんの心が動くことはない。,商品・サービスについて紹介するとき、商品名や仕様（スペック）などの属性や価格などを説明しようと思いがちである。しかし、それらの情報が、ほしいと思う気持ちを引き起こすことはあまりないので、手に取ってみたり買ったりする行動への動機にはなりにくい。,その商品・サービスを手にすることで、お客さんの生活にどのような良いことがもたらされるのかを考え、それを伝えるようにする。,商品・サービスの価値を考えるときには、まず、「これによって、お客さんの生活に、どういう良いことが起きるだろうか」 「お客さんのどういう困りごと・問題を解決できるだろうか」というように、どのような 〈心の充足とお悩み解決〉 に寄与できるのかを考えてみるとよい。そういうときには、お客さんの 〈生活全体のイメージ〉 へと思いを馳せることが重要となる。そのためにも、自分の店・会社のお客さんを観察したり話をしたりするなかで、〈うちのお客さん像〉 を把握しておくことが不可欠である。また、商品・サービスの背後にある 〈つくり手の想い〉 に着目することで、価値を見出していくこともできる。,お客さんが、商品・サービスが自分にどのような価値をもたらしてくれるのかを知ることで、その商品・サービスについてもっと知りたい・ほしいと思うようになるだろう。これができるようになると、自分たちの扱う商品・サービスの価値を高めて提供できるようになるので、それらをほしいと思う人・買う人を増やしていくことにつながる。,5,2,7
16,16,B5,惹き込む伝え方,「それ、ほしい！」 という気持ちが生まれるように。,商品・サービスの価値を、お客さんに伝えたい。,その価値について、大切なことがきちんと伝えられていなかったり、よくあるような表現にすり替わってしまったりして、お客さんの心に届かないということがしばしば起きる。,せっかく 《価値の掘り起こし》 で価値がつかめているのに、それを伝えようとするときに、つい、よくある商品説明になったり、商品・サービスの名前を大きく書いて強調したりしてしまうことがある。また、きれいにかっこよくまとめようとして、気がつかないうちに、これまでに広告などで見たことがあるような紋切り型のフレーズになってしまうということもある。つくり込んでいくうちに、それを初めてみるお客さんにとっては、わかりにくい情報になっているということも起きるだろう。そうなると、価値は伝わらず、お客さんの心が動くということもない。,「もっと知りたい！」 「欲しい！」と直感的に思ってもらえるように、内容や順番、手段、情報量などを考え、情報をデザインして伝える。,商品やサービスについて伝えようとするときに、意識すべきことは、商品名などではなく、まず 〈価値から伝える〉 ということである。また、そのときには、〈直感的なわかりやすさ〉 を大切にする。パッと見で、目にとまり、直感的に理解できるかどうか、お客さんになったつもりで、実際に自分で確かめてみるとよいだろう。,その商品・サービスの価値を、きちんとお客さんに伝えることができる。もともと興味をもっていなかったお客さんにも価値が伝わるので、より多くの人にその商品・サービスのもたらす価値を味わってもらう機会を提供することができるだろう。,5,2,7
17,17,B6,「買う」への橋渡し,「買いたい」の気持ちを 行動につなげる支援。,お客さんが、ある商品・サービスを「買いたい」と思っている。,その商品・サービスについて少しでも不明な点や不安に思うことがあると、ためらいが生じ、「買うのはやめておこうかな」という気持ちに変わってしまうことが多い。,直感的に価値を感じていても、その商品・サービスに対して、疑問に思うことがあったり、選択肢のなかから選ぶことが難しかったりすると、購入には至らないことがある。例えば、「これは何人前なのか」や「この３つのなかで、どれを選べばよいのか」がわからないと迷いが生じ、購入へと踏み切れないものである。,その商品・サービスを買うという判断をするために、説明が不足していたり不安が残らなそうかを先回りして探し出し、それを解消するような情報を提供するようにする。,そのためには、商品を手に取ったまま迷っていそうなお客さんがいたときには、その様子を観察して、〈どこで止まっているのか〉 を把握したり、声をかけて、何を迷い困っているのかという 〈ためらいの理由〉 を聞いてみたりするとよいだろう。こうすると、〈溝を埋める情報〉を提供していくことができるようになる。また、情報と商品・サービスを 〈気づいてもらえる距離〉 に置いておくことで、迷いを減らすことができる。日頃から自分が買い物をするときの行動を振り返り、〈自分の経験の分析〉 をして、買う決め手は何なのかを考えてみるのもよい。,「買いたい」と思ったお客さんが、実際に買うという行動に至り、その商品・サービスの価値を実際に享受してもらうことができる。また、お客さんにとっても、「良いもの・ことを教えてもらえたお店・会社」という気持ちが生まれ、良い関係性を築いていくことにもつながっていく。,5,2,7
18,18,B7,ひとまわり大きな価値,情報と行動のデザインから、 お客さんの「体験」のデザインへ。,自分たちの提供する商品・サービスを、買ってもらえるようになってきた。,自分たちが扱う商品・サービスだけが自分たちが提供し得る価値だと思い込んでいると、それらに意識が集中し、お客さんの買い物体験に目が向かなくなる。,お客さんが実際に買うのは、自分たちが扱っている商品やサービスであるため、どうしてもそこに意識が向かってしまうものである。しかし、実際にお客さんにとっては、商品・サービスだけでなく、それらが提供されている場やそこでの関わり方、それを買う前後の出来事なども、買い物体験を構成している要素となっているのである。,お客さんが自分たちの店・会社を選び、商品・サービスに出会い、吟味し、購入し、受け取るまでの「体験」の全体をデザインしていく。,買い物をしえいるときやサービスを受けたりするときの雰囲気や前後の流れ、余韻などから得られる 〈体験全体の質〉 を大切にする。例えば、落ち着いて買い物を楽しむことができるような、お客さんにとっての 〈居場所になる〉 ことを意識したり、商品を届ける場合にはそれが 〈届くまでのこと〉 も含めて考えたりすることで、体験のデザインをすることができる。対応や音楽、ちょっとしたお土産などを工夫すると、〈心地よい余韻〉 とともに帰ってもらえるようになる。,商品・サービスを得るだけでなく、買い物体験全体の価値を高めることができ、お客さんに高い満足度を感じてもらえるようになるだろう。そうなると、後にその商品・サービスに触れたときに、そのときのことを思い出してくれることにもなる。それは、再びこの店・会社を選ぶという積極的な理由となり得るだろう。,6,2,8
19,19,B8,プロとしての目利き,御用聞きではなく、 教え導く「マスター」になる。,お客さんが欲しいと思う商品・サービスを提供できている。,お客さんのニーズに応えることに意識が行き過ぎると、それを超える価値を提供することはできない。,お客さんの中には、商品・サービスを自分で選んで「これをください」と言う人が多いだろう。しかし、提供している商品・サービスについての詳しい知識を持っている自分たちからすると、お客さん本人が選ぶものよりも、もっとその人が手にすべきものがあるとわかるものである。そうであっても、「お客さんのニーズに応えることが、売り手の使命」だと考えていると、お客さんの選択を尊重しすぎて、自分が良いと思ったものは抑え込んでしまいがちである。,お客さんがほしいというものを単にそのまま提供するのではなく、プロの眼から見て、その人が買うべきだと思うものを提案する。,大切なのは、お客さんが 〈欲しいと思う理由〉 なので、まずそれを聞くところから始める。そのように、お客さんのニーズや思いをきちんと聞きながらも、プロとして 〈教え導く〉 というくらいの気持ちで、〈あなたに合うもの〉 はこれだと提案し、その理由も伝える。また、使うときのために、商品・サービスの〈使いこなしのアドバイス〉を提供するのもよいだろう。,お客さんが、本人だけでは見つけることのできなかった、その人に合うより良い商品・サービスに出会うことができる。そして、そのように期待を超える価値が得られるとして、それを選んでくれた人やお店・会社への満足度・信頼も高まることになるだろう。,6,2,8
20,20,B9,心豊かな世界,自分が魅力的だと思う世界を通して、 お客さんの心の豊かな経験をつくる。,提供している商品・サービスに対し、お客さんから喜んでもらえている。,お客さんが必要だと思っている商品・サービスを提供できていても、それ以上の広がりは出てこない。,人は、その人がもっている関心や知識の範囲での世界を生きているのであり、その外のことは視野に入ってこないものである。そのため、お客さんは、自分の見えている範囲の外にある魅力や感動を自分で知ることはできないのである。そうなると、こちらではよく見えている価値でも、お客さんにはその素晴らしさがつかめず、それを享受できないということになる。,自分だからこそ見えている「世界」の素晴らしさをお客さんにも感じてもらい、そこにある幸せへ誘(いざな)うことが、自分の提供できる最大の価値だと考える。,まず、お客さんの〈幸せ増やしのお手伝い〉をしているのだという意識を持つ。そして、自分の好きなことや得意なことも仕事に結びつけ、〈自分の世界を織り交ぜる〉ことで、自分にしかできない新しい価値や世界を拓いていく。そのとき、従来の業界区分や商習慣に囚われず、〈何を売ってもよい〉のだと考えると、思い切った広がりを生むことができる。また、世の中で〈人々を魅了しているもの〉にも積極的に触れ、感性を磨くとよいだろう。,プロとしての知識・技量をもっている専門領域だけでなく、自分が好き・得意としていることを含め、そこで感じられる素晴らしい「世界」をお客さんに届け、垣間見てもらうことで、その独自の価値や美しさ、奥深さ、秘めた可能性などを味わってもらうことができる。このことは、自分にしかできないような独自の価値の提供に発展させていくことにつながるだろう。こうして、自分が商売をするということと、自分が生きていくということが重なっていくようになるのである。,6,2,8
21,21,C0,特別な存在,売る・買うという一時的な関係ではなく、 長く続く「絆(きずな)」をつくる。,日々、お客さんに商品・サービスを提供している。,その場その場での関係で終わってしまうと、次も利用してくれるかどうかはわからない。,あるとき、お客さんが商品・サービスを買ってくれたとしても、同様のお店・会社があるなかで、次回も、そしてその先も利用してくれる保証はない。そこが不確かなままでは、商売・ビジネスを安定的に続けていくことは難しい。,利用してくれたお客さんとつながり、良い関係を築いていくことで、自分がお客さんにとって無くてはならない存在となることを目指す。,まずは、【つながり始める】 ことで、お客さんと一時的な関係になっている状態を改める。お客さんとつながることができたら、コミュニケーションを重ね、単なる「売り手」と「買い手」の関係にとどまるのではなく、【心が通う体験を共有する】 ようにして、「人」と「人」の関係に発展させていく。自分たちのあり方に共感してくれる人が増えて来たら、お互いにとって良い関係をつくり、【ファンとともに進む】 ようにする。,お客さんに「同じものが買えるならどこのお店・会社でもよい」という気持ちがなくなり、自分たちのお店・会社を選んでくれるようになる。そのようなつながりがあるお客さんとの絆がさらに深まると、お店・会社のファンのような存在に発展する可能性がある。こうして、お客さんにとって、心地のよいかけがえのない存在になるとともに、商売・ビジネスも安定して続けていくことができるようになる。,0,3,9
